Agencia_ID,Town
1110,2008 AG. LAGO FILT
1111,2002 AG. AZCAPOTZALCO
1112,2004 AG. CUAUTITLAN
1113,2008 AG. LAGO FILT
1114,2029 AG.IZTAPALAPA 2
1116,2011 AG. SAN ANTONIO
1117,2001 AG. ATIZAPAN
1118,2007 AG. LA VILLA
1119,2013 AG. MEGA NAUCALPAN
1120,2018 AG. TEPALCATES 2
1121,2016 AG. SAN LORENZO
1122,2019 AG. XALOSTOC
1123,2094 CHALCO_BM
1124,2021 AG. XOCHIMILCO 2
1126,2017 AG. SANTA CLARA
1127,2003 AG. COACALCO
1129,2011 AG. SAN ANTONIO
1130,2010 AG. LOS REYES
1137,2014 AG. NEZA
1138,2015 AG. ROJO GOMEZ
1139,2013 AG. MEGA NAUCALPAN
1140,2078 AG. TEXCOCO
1142,2013 AG. MEGA NAUCALPAN
1143,2088 AG. CEYLAN
1146,2088 AG. CEYLAN
1147,2003 AG. COACALCO
1150,2011 AG. SAN ANTONIO
1152,2008 AG. LAGO FILT
1153,2087 AG. TIZAYUCA
1155,2003 AG. COACALCO
1156,2018 AG. TEPALCATES 2
1159,2011 AG. SAN ANTONIO
1160,2089 AG. AZCAPOTZALCO INSTITUCIONALES
1161,2089 AG. AZCAPOTZALCO INSTITUCIONALES
1164,2048 AG. IXTAPALUCA 1
1165,2010 AG. LOS REYES
1167,2116 Cruce De Anden Región Mexico
1168,2092 AG. SANTA CLARA AUTOSERVICIOS
1170,2001 AG. ATIZAPAN
1171,2001 AG. ATIZAPAN
1172,2004 AG. CUAUTITLAN
1173,2004 AG. CUAUTITLAN
1176,2019 AG. XALOSTOC
1177,2048 AG. IXTAPALUCA 1
1179,2002 AG. AZCAPOTZALCO
1210,2059 Queretaro Balvanera
1211,2027 AG. VALLEJO
1212,2064 AG. TEPALCATES 1
1213,2041 AG. TULTITLAN
1215,2049 AG. IZTAPALAPA 1
1216,2007 AG. LA VILLA
1217,2050 AG. MIXCOAC
1218,2040 AG. CENTRO
1219,2042 AG. TEPOZOTLAN
1220,2048 AG. IXTAPALUCA 1
1221,2013 AG. MEGA NAUCALPAN
1222,2088 AG. CEYLAN
1223,2070 AG. XOCHIMILCO 1
1224,2019 AG. XALOSTOC
1227,2066 TOLUCA PONIENTE
1228,2013 AG. MEGA NAUCALPAN
1229,2056 PUEBLA NORTE MARINELA
1232,2059 Queretaro Balvanera
1235,2057 PUEBLA SUR MARINELA
1236,2056 PUEBLA NORTE MARINELA
1237,2063 TEHUACAN MARINELA
1238,2053 OAXACA MARINELA
1239,2044 CUERNAVACA BUENAVISTA
1242,2034 ACAPULCO COSTERA
1243,2065 TOLUCA CENTRO
1245,2036 APIZACO MARINELA
1250,2029 AG.IZTAPALAPA 2
1252,2064 AG. TEPALCATES 1
1253,2175 TOLUCA AEROPUERTO
1255,2088 AG. CEYLAN
1259,2011 AG. SAN ANTONIO
1261,2031 AG. PANTITLAN
1262,2048 AG. IXTAPALUCA 1
1273,2044 CUERNAVACA BUENAVISTA
1275,2070 AG. XOCHIMILCO 1
1276,2041 AG. TULTITLAN
1277,2089 AG. AZCAPOTZALCO INSTITUCIONALES
1279,2041 AG. TULTITLAN
1281,2070 AG. XOCHIMILCO 1
1310,2260 GONZALEZ GALLO
1311,2273 SAN PEDRO
1312,2278 ZAPOPAN BIMBO
1313,2293 GRANJAS MARINELA
1314,2263 LIBERTAD
1315,2268 PALOMAR
1330,2253 ATOTONILCO
1331,2254 AUTLAN_BM
1332,2255 CD GUZMAN
1333,2258 COLIMA BIMBO
1334,2259 FRESNILLO BIMBO
1335,2264 MANZANILLO BIMBO
1336,2269 PUERTO VALLARTA BIMBO
1337,2277 ZACATECAS BIMBO
1338,2274 TEPATITLAN BIMBO
1339,2267 OCOTLAN BIMBO
1340,2275 TEPIC BIMBO
1341,2262 LA PEÑITA
1342,2265 MATEHUALA BIMBO
1344,2315 SAN LUIS POTOSI MARINELA
1345,2272 SAN LUIS REY
1346,2276 WONDER LA RAZA
1347,2251 AGUASCALIENTES NORTE
1348,2256 CD. MANTE
1349,2257 CD. VALLES
1350,2271 RIO VERDE BIMBO
1351,2252 AGUASCALIENTES SIGLO XXI
1353,2293 GRANJAS MARINELA
1354,2272 SAN LUIS REY
1355,2251 AGUASCALIENTES NORTE
1356,2504 TAMPICO MARINELA
1357,2258 COLIMA BIMBO
1358,2264 MANZANILLO BIMBO
1359,2275 TEPIC BIMBO
1360,2269 PUERTO VALLARTA BIMBO
1361,2304 MARIANO OTERO_MM
1363,2321 ZACATECAS MARINELA
1364,2257 CD. VALLES
1366,2325 TECOMAN
1367,2293 GRANJAS MARINELA
1368,2260 GONZALEZ GALLO
1371,2315 SAN LUIS POTOSI MARINELA
1372,2255 CD GUZMAN
1373,2277 ZACATECAS BIMBO
1374,2251 AGUASCALIENTES NORTE
1375,2329 AG.HUEJUTLA
1376,2267 OCOTLAN BIMBO
1377,2368 TAMPICO BIMBO
1378,2328 SANTIAGO IXCUINTLA
1379,2330 TLAQUEPARQUE
1380,2330 TLAQUEPARQUE
1381,2268 PALOMAR
1382,2278 ZAPOPAN BIMBO
1383,2309 NORTE
1384,2321 ZACATECAS MARINELA
1385,2269 PUERTO VALLARTA BIMBO
1386,2273 SAN PEDRO
1387,2272 SAN LUIS REY
1415,2465 LAREDO
1419,2467 LINCOLN
1420,2478 SAN NICOLAS
1423,2468 MATAMOROS BIMBO
1427,2469 MONCLOVA BIMBO
1430,2451 ACUÑA
1431,2474 PIEDRAS NEGRAS
1434,2480 VICTORIA BIMBO
1435,2477 SALTILLO BIMBO
1436,2465 LAREDO
1437,2476 SABINAS
1438,2468 MATAMOROS BIMBO
1439,2461 HIDALGO BIMBO
1441,2477 SALTILLO BIMBO
1442,2465 LAREDO
1443,2469 MONCLOVA BIMBO
1445,2479 SANTA CATARINA BIMBO
1447,2469 MONCLOVA BIMBO
1448,2505 TORREON
1449,2474 PIEDRAS NEGRAS
1451,2480 VICTORIA BIMBO
1452,2145 Cruce De Anden Norte
1453,2481 WONDER GUERRERO
1454,2455 CHIHUAHUA BIMBO
1455,2472 OJINAGA
1456,2505 TORREON
1459,2473 PARRAL BIMBO
1461,2457 DELICIAS BIMBO
1462,2454 CUAHUTEMOC
1463,2458 GOMEZ PALACIO BIMBO
1464,2505 TORREON
1465,2475 REYNOSA BIMBO
1469,2488 JUAREZ
1470,2515 CAVAZOS
1471,2516 ESCOBEDO
1472,2499 REYNOSA MARINELA
1473,2467 LINCOLN
1474,2477 SALTILLO BIMBO
1475,2458 GOMEZ PALACIO BIMBO
1476,2516 ESCOBEDO
1477,2487 AEROPUERTO
1478,2515 CAVAZOS
1479,2485 CHIHUAHUA MARINELA
1480,2475 REYNOSA BIMBO
1481,2468 MATAMOROS BIMBO
1482,2480 VICTORIA BIMBO
1484,2496 LA FE
1491,2462 JUAREZ BIMBO
1492,2468 MATAMOROS BIMBO
1493,2478 SAN NICOLAS
1494,2451 ACUÑA
1495,2474 PIEDRAS NEGRAS
1496,2476 SABINAS
1498,2457 DELICIAS BIMBO
1499,2454 CUAHUTEMOC
1512,2520 HERMOSILLO SUR
1518,2563 MEXICALI PONIENTE
1524,2152 Cruce De Anden Noroeste
1530,2552 CABORCA
1531,2566 NOGALES_BW
1532,2551 AGUA PRIETA
1533,2558 GUAYMAS
1534,2554 CD. OBREGON
1535,2565 NAVOJOA
1536,2564 MOCTEZUMA
1538,2553 CANANEA
1539,2555 ENSENADA II
1541,2570 SANTA ANA
1542,2567 PUERTO PEÑASCO
1544,2561 LOS MOCHIS
1545,2557 BW_GUASAVE
1546,2556 GUAMUCHIL
1548,2555 ENSENADA II
1549,2555 ENSENADA II
1550,2572 TIJUANA EL FLORIDO
1551,2573 TIJUANA GATO BRONCO
1552,2574 TIJUANA PACIFICO
1554,2571 TECATE
1555,2562 MEXICALI PLAZA
1556,2563 MEXICALI PONIENTE
1557,2568 SAN LUIS R.C.
1558,2563 MEXICALI PONIENTE
1560,2574 TIJUANA PACIFICO
1562,2555 ENSENADA II
1563,2566 NOGALES_BW
1564,2561 LOS MOCHIS
1571,2554 CD. OBREGON
1573,2520 HERMOSILLO SUR
1576,2571 TECATE
1578,2520 HERMOSILLO SUR
1579,2562 MEXICALI PLAZA
1580,2305 MAZATLAN BIMBO
1581,2290 DURANGO BIMBO
1583,2573 TIJUANA GATO BRONCO
1585,2563 MEXICALI PONIENTE
1586,2289 CULIACAN MARINELA
1587,2289 CULIACAN MARINELA
1588,2573 TIJUANA GATO BRONCO
1589,2555 ENSENADA II
1591,2520 HERMOSILLO SUR
1592,2297 LA PAZ
1593,2290 DURANGO BIMBO
1594,2566 NOGALES_BW
1595,2558 GUAYMAS
1596,2565 NAVOJOA
1597,2554 CD. OBREGON
1598,2561 LOS MOCHIS
1599,2314 SAN LUCAS
1602,2417 ZACATLAN
1611,2376 CONVENIENCIA VERACRUZ SUR
1612,2352 CORDOBA
1613,2361 ORIZABA
1614,2355 JALAPA I
1615,2358 MARTINEZ DE LA TORRE
1616,2363 POZA RICA
1617,2370 TEZIUTLAN
1618,2373 TUXPAM
1620,2374 TUXTEPEC
1622,2375 VERACRUZ NORTE
1623,2354 ISLA
1625,2504 TAMPICO MARINELA
1626,2377 VERACRUZ SUR MLA
1628,2364 PUEBLA NORTE BIMBO
1629,2365 PUEBLA SUR BIMBO
1631,2372 AG.TULANCINGO
1632,2353 HUAJUAPAN
1633,2360 OAXACA BIMBO
1634,2415 JUXTLAHUACA
1635,2416 PACHUCA II
1636,2359 AG.MIXQUIAHUALA
1637,2367 SAN MARTIN T.
1640,2359 AG.MIXQUIAHUALA
1650,2377 VERACRUZ SUR MLA
1653,2416 PACHUCA II
1654,2053 OAXACA MARINELA
1655,2363 POZA RICA
1656,2407 TEPEACA
1657,2365 PUEBLA SUR BIMBO
1658,2364 PUEBLA NORTE BIMBO
1659,2364 PUEBLA NORTE BIMBO
1660,2416 PACHUCA II
1661,2036 APIZACO MARINELA
1663,2372 AG.TULANCINGO
1664,2360 OAXACA BIMBO
1667,2352 CORDOBA
1668,2376 CONVENIENCIA VERACRUZ SUR
1669,2355 JALAPA I
1670,2363 POZA RICA
1671,2063 TEHUACAN MARINELA
1672,2376 CONVENIENCIA VERACRUZ SUR
1673,2036 APIZACO MARINELA
1674,2355 JALAPA I
1675,2036 APIZACO MARINELA
1677,2360 OAXACA BIMBO
1678,2355 JALAPA I
1679,2056 PUEBLA NORTE MARINELA
1680,2063 TEHUACAN MARINELA
1681,2053 OAXACA MARINELA
1682,2036 APIZACO MARINELA
1683,2365 PUEBLA SUR BIMBO
1684,2416 PACHUCA II
1685,2372 AG.TULANCINGO
1686,2359 AG.MIXQUIAHUALA
1687,2367 SAN MARTIN T.
1689,2352 CORDOBA
1690,2355 JALAPA I
1691,2363 POZA RICA
1692,2373 TUXPAM
1693,2377 VERACRUZ SUR MLA
1694,2169 Cruce De Andén Sureste
1695,2370 TEZIUTLAN
1697,2412 APAN
1698,2413 CIUDAD SERDÁN
1910,2304 MARIANO OTERO_MM
1911,2309 NORTE
1912,2294 GUADALAJARA
1914,2293 GRANJAS MARINELA
1915,2260 GONZALEZ GALLO
1934,2161 IRAPUATO GUADALUPE
1936,2300 LEON MILENIUM
1939,2269 PUERTO VALLARTA BIMBO
1942,2300 LEON MILENIUM
1944,2277 ZACATECAS BIMBO
1945,2322 ZAMORA MADERO
1952,2305 MAZATLAN BIMBO
1954,2288 CULIACAN BIMBO
1955,2290 DURANGO BIMBO
1956,2279 ACAPONETA
1958,2288 CULIACAN BIMBO
1960,2290 DURANGO BIMBO
1961,2297 LA PAZ
1963,2306 MAZATLAN MARINELA
1964,2310 NUEVO IDEAL
1967,2313 SAN JOSE DEL CABO
1968,2314 SAN LUCAS
1970,2297 LA PAZ
1971,2285 CD. CONSTITUCION
1972,2316 SANTA ROSALIA
1973,2576 GUERRERO NEGRO
1974,2252 AGUASCALIENTES SIGLO XXI
1975,2161 IRAPUATO GUADALUPE
1976,2300 LEON MILENIUM
1977,2269 PUERTO VALLARTA BIMBO
1978,2272 SAN LUIS REY
1980,2168 MORELIA ABASTOS
1981,2288 CULIACAN BIMBO
1983,2306 MAZATLAN MARINELA
1985,2290 DURANGO BIMBO
1987,2277 ZACATECAS BIMBO
1988,2258 COLIMA BIMBO
1989,2264 MANZANILLO BIMBO
1990,2275 TEPIC BIMBO
1991,2297 LA PAZ
1992,2314 SAN LUCAS
1993,2557 BW_GUASAVE
1995,2574 TIJUANA PACIFICO
1997,2573 TIJUANA GATO BRONCO
1998,2573 TIJUANA GATO BRONCO
2011,2175 TOLUCA AEROPUERTO
2012,2176 TOLUCA SAN ANTONIO
2013,2177 AGENCIA SUANDY
2014,2151 ACAPULCO ESCENICA
2015,2154 ATLACOMULCO
2016,2157 CUAUTLA
2017,2158 CUERNAVACA CIVAC
2018,2159 CHILPANCINGO
2019,2160 IGUALA
2020,2182 ZITACUARO
2021,2162 JOJUTLA_BM
2022,2152 ALTAMIRANO_BM
2023,2169 PINOTEPA
2024,2170 PUERTO ESCONDIDO
2029,2161 IRAPUATO GUADALUPE
2030,2165 LEON SAN JUAN BOSCO
2031,2178 URIANGATO
2032,2155 CELAYA NORPONIENTE
2034,2167 MORELIA LA HUERTA
2036,2179 URUAPAN
2037,2153 APATZINGAN
2038,2164 LAZARO CARDENAS
2040,2181 ZIHUATANEJO
2043,2156 CELAYA INDUSTRIAL WONDER
2044,2168 MORELIA ABASTOS
2045,2163 LA PIEDAD
2054,2174 SAN MIGUEL DE ALLENDE
2055,2055 Pinotepa
2057,2057 PUEBLA SUR MARINELA
2058,2151 ACAPULCO ESCENICA
2059,2059 QUERETARO BALVANERA
2060,2301 CUBILETE
2061,2175 TOLUCA AEROPUERTO
2062,2186 LAGOS DE MORENO
2063,2034 ACAPULCO COSTERA
2064,2158 CUERNAVACA CIVAC
2065,2155 CELAYA NORPONIENTE
2066,2168 MORELIA ABASTOS
2068,2322 ZAMORA MADERO
2071,2296 IRAPUATO SAN MIGUELITO
2072,2186 LAGOS DE MORENO
2073,2034 ACAPULCO COSTERA
2074,2044 CUERNAVACA BUENAVISTA
2075,2167 MORELIA LA HUERTA
2076,2161 IRAPUATO GUADALUPE
2077,2300 LEON MILENIUM
2078,2165 LEON SAN JUAN BOSCO
2080,2080 TEXCOCO WONDER
2081,2081 NAUCALPAN II
2082,2155 CELAYA NORPONIENTE
2083,2083 AZCAPOTZALCO II MARINELA
2084,2034 ACAPULCO COSTERA
2085,2044 CUERNAVACA BUENAVISTA
2086,2165 LEON SAN JUAN BOSCO
2087,2087 AG. TIZAYUCA
2088,2161 IRAPUATO GUADALUPE
2089,2156 CELAYA INDUSTRIAL WONDER
2090,2090 AG. TEPEJI DEL RIO
2092,2186 LAGOS DE MORENO
2094,2094 CHALCO_BM
2095,2175 TOLUCA AEROPUERTO
2096,2301 CUBILETE
2097,2159 CHILPANCINGO
2098,2179 URUAPAN
2099,2322 ZAMORA MADERO
2211,2390 INDUSTRIAL
2212,2396 RUIZ CORTINEZ
2213,2396 RUIZ CORTINEZ
2214,2393 MERIDA SUR
2215,2392 MERIDA NORTE
2216,2380 CAMPECHE
2217,2388 CHETUMAL
2218,2381 CANCUN_BM
2220,2395 PLAYA DEL CARMEN
2222,2401 TEKAX
2229,2386 COATZACOALCOS MLA.
2230,2382 CARDENAS
2231,2392 MERIDA NORTE
2233,2394 MINATITLAN
2234,2378 ACAYUCAN
2235,2384 CIUDAD DEL CARMEN
2237,2402 TUXTLA
2238,2398 SAN CRISTOBAL
2239,2399 TAPACHULA
2240,2379 ARRIAGA_BM
2241,2391 IXTEPEC
2242,2397 SALINA CRUZ
2243,2381 CANCUN_BM
2244,2396 RUIZ CORTINEZ
2245,2382 CARDENAS
2246,2402 TUXTLA
2247,2386 COATZACOALCOS MLA.
2248,2399 TAPACHULA
2249,2393 MERIDA SUR
2250,2410 CANCUN II
2251,2395 PLAYA DEL CARMEN
2252,2380 CAMPECHE
2253,2384 CIUDAD DEL CARMEN
2254,2384 CIUDAD DEL CARMEN
2255,2380 CAMPECHE
2256,2381 CANCUN_BM
2261,2396 RUIZ CORTINEZ
2262,2402 TUXTLA
2263,2263 LIBERTAD
2264,2411 COMITAN
2265,2396 RUIZ CORTINEZ
2266,2386 COATZACOALCOS MLA.
2267,2382 CARDENAS
2269,2384 CIUDAD DEL CARMEN
2270,2402 TUXTLA
2271,2399 TAPACHULA
2273,2386 COATZACOALCOS MLA.
2274,2402 TUXTLA
2275,2392 MERIDA NORTE
2276,2408 ESCARCEGA
2278,2392 MERIDA NORTE
2279,2380 CAMPECHE
2280,2388 CHETUMAL
2281,2381 CANCUN_BM
2282,2395 PLAYA DEL CARMEN
2614,2168 MORELIA ABASTOS
2618,2159 CHILPANCINGO
2619,2181 ZIHUATANEJO
2621,2179 URUAPAN
2627,2322 ZAMORA MADERO
2628,2301 CUBILETE
2629,2188 MARAVATIO
2642,2157 CUAUTLA
2643,2157 CUAUTLA
2644,2189 ACAPULCO SAN ISIDRO
2645,2174 SAN MIGUEL DE ALLENDE
2646,2163 LA PIEDAD
2647,2647 BLM_AG. CAMPESINOS AUTOSERVICI
2648,2174 SAN MIGUEL DE ALLENDE
2649,2322 ZAMORA MADERO
2650,2186 LAGOS DE MORENO
2651,2174 SAN MIGUEL DE ALLENDE
2653,2190 BI_SAN FRANCISCO DEL RINCON
2655,2655 LOS MOCHIS
2657,2155 CELAYA NORPONIENTE
3211,2029 AG.IZTAPALAPA 2
3212,2031 AG. PANTITLAN
3213,2027 AG. VALLEJO
3214,2017 AG. SANTA CLARA
3215,2001 AG. ATIZAPAN
3216,3216 NUEVO LAREDO
3217,2032 AG. SANTA LUCIA
3219,2003 AG. COACALCO
3221,2013 AG. MEGA NAUCALPAN
3223,2029 AG.IZTAPALAPA 2
3225,2002 AG. AZCAPOTZALCO
3226,2018 AG. TEPALCATES 2
3229,2087 AG. TIZAYUCA
4010,2487 AEROPUERTO
4011,2493 MITRAS
4013,2479 SANTA CATARINA BIMBO
4016,2496 LA FE
4017,2481 WONDER GUERRERO
4030,2465 LAREDO
4035,2469 MONCLOVA BIMBO
4037,2499 REYNOSA MARINELA
4040,2502 SALTILLO MARINELA
4041,2368 TAMPICO BIMBO
4046,2485 CHIHUAHUA MARINELA
4049,2505 TORREON
4051,2488 JUAREZ
4061,2517 SENDERO AUTOSERVICIO
4062,2496 LA FE
4063,2455 CHIHUAHUA BIMBO
4064,2462 JUAREZ BIMBO
4066,2477 SALTILLO BIMBO
4078,2485 CHIHUAHUA MARINELA
4079,2488 JUAREZ
4081,2502 SALTILLO MARINELA
4082,2493 MITRAS
4084,2480 VICTORIA BIMBO
4085,2468 MATAMOROS BIMBO
4086,2499 REYNOSA MARINELA
4087,2505 TORREON
4089,2465 LAREDO
4091,2368 TAMPICO BIMBO
20039,2003 AG. COACALCO
20049,2004 AG. CUAUTITLAN
20079,2007 AG. LA VILLA
20089,2008 AG. LAGO FILT
20109,2010 AG. LOS REYES
20119,2011 AG. SAN ANTONIO
20139,2013 AG. MEGA NAUCALPAN
20149,2014 AG. NEZA
20159,2015 AG. ROJO GOMEZ
20169,2016 AG. SAN LORENZO
20179,2017 AG. SANTA CLARA
20189,2018 AG. TEPALCATES 2
20199,2019 AG. XALOSTOC
20219,2021 AG. XOCHIMILCO 2
20279,2027 AG. VALLEJO
20299,2029 AG.IZTAPALAPA 2
20319,2031 AG. PANTITLAN
20329,2032 AG. SANTA LUCIA
20349,2034 ACAPULCO COSTERA
20369,2036 APIZACO MARINELA
20409,2040 AG. CENTRO
20419,2041 AG. TULTITLAN
20429,2042 AG. TEPOZOTLAN
20449,2044 CUERNAVACA BUENAVISTA
20489,2048 AG. IXTAPALUCA 1
20499,2049 AG. IZTAPALAPA 1
20509,2050 AG. MIXCOAC
20539,2053 OAXACA MARINELA
20569,2056 PUEBLA NORTE MARINELA
20579,2057 PUEBLA SUR MARINELA
20599,2059 QUERETARO BALVANERA
20639,2063 TEHUACAN MARINELA
20649,2064 AG. TEPALCATES 1
20659,2065 TOLUCA CENTRO
20669,2066 TOLUCA PONIENTE
20709,2070 AG. XOCHIMILCO 1
20789,2078 AG. TEXCOCO
20879,2087 AG. TIZAYUCA
20889,2088 AG. CEYLAN
20929,2092 AG. SANTA CLARA AUTOSERVICIOS
20949,2094 CHALCO_BM
21519,2151 ACAPULCO ESCENICA
21529,2152 ALTAMIRANO_BM
21539,2153 APATZINGAN
21549,2154 ATLACOMULCO
21559,2155 CELAYA NORPONIENTE
21569,2156 CELAYA INDUSTRIAL WONDER
21579,2157 CUAUTLA
21589,2158 CUERNAVACA CIVAC
21599,2159 CHILPANCINGO
21609,2160 IGUALA
21619,2161 IRAPUATO GUADALUPE
21629,2162 JOJUTLA_BM
21639,2163 LA PIEDAD
21649,2164 LAZARO CARDENAS
21659,2165 LEON SAN JUAN BOSCO
21679,2167 MORELIA LA HUERTA
21689,2168 MORELIA ABASTOS
21699,2169 PINOTEPA
21709,2170 PUERTO ESCONDIDO
21719,2171 QUERETARO SAN PABLO
21739,2173 SAN JUAN DEL RIO
21749,2174 SAN MIGUEL DE ALLENDE
21759,2175 TOLUCA AEROPUERTO
21769,2176 TOLUCA SAN ANTONIO
21779,2177 AGENCIA SUANDY
21789,2178 URIANGATO
21799,2179 URUAPAN
21819,2181 ZIHUATANEJO
21829,2182 ZITACUARO
21869,2186 LAGOS DE MORENO
21889,2188 MARAVATIO
21899,2189 ACAPULCO SAN ISIDRO
21909,2190 BI_SAN FRANCISCO DEL RINCON
22001,2001 AG. ATIZAPAN
22002,2002 AG. AZCAPOTZALCO
22011,2011 AG. SAN ANTONIO
22013,2013 AG. MEGA NAUCALPAN
22029,2029 AG.IZTAPALAPA 2
22090,2090 AG. TEPEJI DEL RIO
22187,2187 SALAMANCA
22362,2362 AG.PACHUCA
22414,2414 IZUCAR DE MATAMOROS
22519,2251 AGUASCALIENTES NORTE
22529,2252 AGUASCALIENTES SIGLO XXI
22539,2253 ATOTONILCO
22549,2254 AUTLAN_BM
22559,2255 CD GUZMAN
22560,2560 LAS TORRES
22569,2256 CD. MANTE
22579,2257 CD. VALLES
22589,2258 COLIMA BIMBO
22599,2259 FRESNILLO BIMBO
22609,2260 GONZALEZ GALLO
22629,2262 LA PEÑITA
22639,2263 LIBERTAD
22649,2264 MANZANILLO BIMBO
22659,2265 MATEHUALA BIMBO
22679,2267 OCOTLAN BIMBO
22689,2268 PALOMAR
22699,2269 PUERTO VALLARTA BIMBO
22719,2271 RIO VERDE BIMBO
22729,2272 SAN LUIS REY
22739,2273 SAN PEDRO
22749,2274 TEPATITLAN BIMBO
22759,2275 TEPIC BIMBO
22769,2276 WONDER LA RAZA
22779,2277 ZACATECAS BIMBO
22789,2278 ZAPOPAN BIMBO
22799,2279 ACAPONETA
22859,2285 CD. CONSTITUCION
22889,2288 CULIACAN BIMBO
22899,2289 CULIACAN MARINELA
22909,2290 DURANGO BIMBO
22939,2293 GRANJAS MARINELA
22949,2294 GUADALAJARA
22969,2296 IRAPUATO SAN MIGUELITO
22979,2297 LA PAZ
23009,2300 LEON MILENIUM
23019,2301 CUBILETE
23049,2304 MARIANO OTERO_MM
23059,2305 MAZATLAN BIMBO
23069,2306 MAZATLAN MARINELA
23099,2309 NORTE
23109,2310 NUEVO IDEAL
23139,2313 SAN JOSE DEL CABO
23149,2314 SAN LUCAS
23159,2315 SAN LUIS POTOSI MARINELA
23169,2316 SANTA ROSALIA
23219,2321 ZACATECAS MARINELA
23229,2322 ZAMORA MADERO
23259,2325 TECOMAN
23289,2328 SANTIAGO IXCUINTLA
23299,2329 AG.HUEJUTLA
23309,2330 TLAQUEPARQUE
23529,2352 CORDOBA
23539,2353 HUAJUAPAN
23549,2354 ISLA
23552,2355 JALAPA I
23559,2355 JALAPA I
23589,2358 MARTINEZ DE LA TORRE
23599,2359 AG.MIXQUIAHUALA
23609,2360 OAXACA BIMBO
23619,2361 ORIZABA
23639,2363 POZA RICA
23649,2364 PUEBLA NORTE BIMBO
23659,2365 PUEBLA SUR BIMBO
23669,2366 SAN ANDRES
23679,2367 SAN MARTIN T.
23689,2368 TAMPICO BIMBO
23709,2370 TEZIUTLAN
23719,2371 TIERRA BLANCA
23729,2372 AG.TULANCINGO
23739,2373 TUXPAM
23749,2374 TUXTEPEC
23759,2375 VERACRUZ NORTE
23769,2376 CONVENIENCIA VERACRUZ SUR
23789,2378 ACAYUCAN
23799,2379 ARRIAGA_BM
23809,2380 CAMPECHE
23819,2381 CANCUN_BM
23829,2382 CARDENAS
23849,2384 CIUDAD DEL CARMEN
23869,2386 COATZACOALCOS MLA.
23879,2387 COZUMEL
23889,2388 CHETUMAL
23899,2389 EMILIANO ZAPATA
23909,2390 INDUSTRIAL
23919,2391 IXTEPEC
23929,2392 MERIDA NORTE
23939,2393 MERIDA SUR
23949,2394 MINATITLAN
23959,2395 PLAYA DEL CARMEN
23969,2396 RUIZ CORTINEZ
23979,2397 SALINA CRUZ
23989,2398 SAN CRISTOBAL
23999,2399 TAPACHULA
24019,2401 TEKAX
24029,2402 TUXTLA
24049,2404 VALLADOLID
24079,2407 TEPEACA
24089,2408 ESCARCEGA
24119,2411 COMITAN
24129,2412 APAN
24139,2413 CIUDAD SERDÁN
24159,2415 JUXTLAHUACA
24169,2416 PACHUCA II
24179,2417 ZACATLAN
24189,2418 COMALCALCO
24519,2451 ACUÑA
24539,2453 CASAS GRANDES
24549,2454 CUAHUTEMOC
24559,2455 CHIHUAHUA BIMBO
24579,2457 DELICIAS BIMBO
24589,2458 GOMEZ PALACIO BIMBO
24619,2461 HIDALGO BIMBO
24629,2462 JUAREZ BIMBO
24659,2465 LAREDO
24669,2466 LINARES
24679,2467 LINCOLN
24689,2468 MATAMOROS BIMBO
24699,2469 MONCLOVA BIMBO
24729,2472 OJINAGA
24739,2473 PARRAL BIMBO
24749,2474 PIEDRAS NEGRAS
24759,2475 REYNOSA BIMBO
24769,2476 SABINAS
24779,2477 SALTILLO BIMBO
24789,2478 SAN NICOLAS
24799,2479 SANTA CATARINA BIMBO
24809,2480 VICTORIA BIMBO
24819,2481 WONDER GUERRERO
24859,2485 CHIHUAHUA MARINELA
24879,2487 AEROPUERTO
24889,2488 JUAREZ
24939,2493 MITRAS
24969,2496 LA FE
24999,2499 REYNOSA MARINELA
25029,2502 SALTILLO MARINELA
25049,2504 TAMPICO MARINELA
25059,2505 TORREON
25159,2515 CAVAZOS
25169,2516 ESCOBEDO
25179,2517 SENDERO AUTOSERVICIO
25209,2520 HERMOSILLO SUR
25519,2551 AGUA PRIETA
25529,2552 CABORCA
25539,2553 CANANEA
25549,2554 CD. OBREGON
25559,2555 ENSENADA II
25569,2556 GUAMUCHIL
25579,2557 BW_GUASAVE
25589,2558 GUAYMAS
25619,2561 LOS MOCHIS
25629,2562 MEXICALI PLAZA
25639,2563 MEXICALI PONIENTE
25649,2564 MOCTEZUMA
25659,2565 NAVOJOA
25669,2566 NOGALES_BW
25679,2567 PUERTO PEÑASCO
25689,2568 SAN LUIS R.C.
25699,2569 SAN QUINTÍN
25709,2570 SANTA ANA
25719,2571 TECATE
25729,2572 TIJUANA EL FLORIDO
25739,2573 TIJUANA GATO BRONCO
25749,2574 TIJUANA PACIFICO
25759,2575 TIJUANA ROSARITO
25769,2576 GUERRERO NEGRO
