rute;zonasi;jumlah_bus_jan;jumlah_penumpang_jan;jumlah_bus_feb;jumlah_penumpang_feb;jumlah_bus_mar;jumlah_penumpang_mar;jumlah_bus_apr;jumlah_penumpang_apr;jumlah_bus_mei;jumlah_penumpang_mei;jumlah_bus_jun;jumlah_penumpang_jun;jumlah_bus_jul;jumlah_penumpang_jul;jumlah_bus_aug;jumlah_penumpang_aug;jumlah_bus_sep;jumlah_penumpang_sep;jumlah_bus_okt;jumlah_penumpang_okt;jumlah_bus_nov;jumlah_penumpang_nov;jumlah_bus_des;jumlah_penumpang_des
ZONA 1;ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO;100;20358;109;20696;127;23200;99;11367;122;12601;51;3270;58;11892;94;14823;105;17670;6;924;126;22839;77;9612
ZONA 2;ZONASI KP.MELAYU - RAWAMANGUN;84;16302;93;16478;107;16294;80;10494;89;9496;45;2368;50;8654;75;10608;87;13361;5;759;98;16596;63;7512
ZONA 3;ZONASI TERMINAL KALIDERES - KAMAL;67;11416;74;12427;86;14484;67;8382;55;6264;36;1675;39;7415;62;5920;74;6963;4;344;88;8227;50;3737
ZONA 4;ZONASI KALIDERES -SEMANAN-DURIKOSAMBI;102;18655;113;20987;128;23236;99;13370;87;13627;54;2270;58;11593;93;11074;107;12334;7;711;123;14482;67;6682
ZONA 5;ZONASI PULO GADUNG-MARDANI-PASEBAN;68;12332;74;12846;87;15159;70;7735;56;5578;36;2091;37;6287;62;6919;73;9328;4;520;82;11056;50;5078
ZONA 6;ZONASI CAWANG - PEJATEN - RAGUNAN;66;6407;75;8008;84;8195;63;5028;41;4028;36;1935;31;3623;63;4656;62;5858;4;335;73;6784;50;4062
ZONA 7;ZONASI RAWAMANGUN - CIKINI - LP.BANTENG;68;10153;76;12341;86;13124;65;6940;47;6762;36;1771;40;4695;63;5744;75;7921;4;423;76;10031;48;4286
ZONA 8;ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO;67;7510;75;8842;83;9237;65;5418;42;5061;36;1609;35;3597;64;5383;72;6735;4;425;83;8153;52;3281
ZONA 9;ZONASI MARUNDA - ROROTAN;50;11794;56;13731;65;18396;49;10015;41;6387;27;1636;30;7341;47;7144;56;8136;3;407;57;7945;37;3264
ZONA 10;ZONASI MARUNDA - CILINCING;51;6803;57;7632;65;8611;49;4934;36;4196;27;1606;30;4030;48;5296;51;6163;3;376;65;7516;39;3908
ZONA 11;ZONASI - RUSUN KAPUK - CIDENG;34;4969;37;5058;42;6328;33;3856;21;3564;18;816;20;1747;37;2371;37;4836;2;35;42;4851;24;2154
RUTE 1;LAP.BANTENG - GALUR -P.KEMERDEKAAN;94;25549;114;27714;131;29853;101;19521;131;23105;54;6244;54;13532;95;19988;111;25947;5;1407;129;30935;76;14374
RUTE 2;PLUMPANG - SUNTER - KEMAYORAN;80;18334;95;20892;109;22867;84;14125;128;12061;45;3579;45;7967;79;12923;104;17247;6;1108;129;22487;70;9640
RUTE 3;GANDARIA - H E K - TMII;95;27055;112;31415;128;31074;100;18619;112;15525;54;4932;54;13943;93;15554;109;23129;6;1326;132;27826;76;10540
RUTE 4;PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI;63;19430;75;19976;88;21822;51;11040;51;12262;29;3631;53;10231;51;12155;146;33612;3;796;67;18493;39;7549
RUTE 4A;PULO GADUNG - PONDOK KOPI;79;22660;94;25840;102;28716;83;17696;68;14259;39;3831;24;4531;77;15390;80;14383;5;1100;102;28736;63;12099
RUTE 5;KAMPUNG MELAYU - TMII - CEGER;128;36009;152;38934;175;42338;137;22862;108;19063;72;5701;66;20183;124;21842;152;32759;8;1680;174;38200;99;16766
RUTE 6;PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK;80;18192;91;19820;103;23031;77;13722;60;10226;37;2867;43;9164;83;12965;79;14647;5;1062;102;19511;59;8291
RUTE 7;PASAR MINGGU - RANCO - LT.AGUNG - UI;101;32202;113;38741;131;42092;97;29121;80;23160;52;8623;53;13351;89;24274;121;34904;7;1929;119;38215;68;17901
RUTE 8;PS. MINGGU - PANCORAN - MANGGARAI;82;17519;83;16238;103;14957;63;5748;69;10279;37;2943;50;9573;74;10264;92;13998;5;729;119;21260;71;9829
RUTE 9;CILINCING - PLUMPANG -P.KEMERDEKAAN;49;8607;57;10571;66;12040;51;7459;50;4525;28;1734;21;3598;34;5173;38;7532;2;465;44;9661;24;5019
RUTE 10;KAMPUNG MELAYU - LAPANGAN BANTENG;67;14152;75;15869;87;16450;66;9341;65;7763;36;2668;36;7471;62;10147;64;12396;2;365;63;11535;39;5826
RUTE 11;BLOK.M - CILEDUK;79;16593;94;16363;110;18509;79;10874;79;8960;40;3248;40;7159;65;10660;86;13369;5;803;85;16887;49;7908
RUTE 12;TERMINAL KALIDERES - GAJAH MADA;101;30234;100;35407;110;35716;91;23639;95;11077;47;4843;53;17415;86;22663;111;29790;5;1494;117;31976;58;13215
RUTE 13;PULO GADUNG -  PONDOK BAMBU -CAWANG;102;20490;114;23008;128;23798;95;13735;87;8213;44;3988;45;8895;92;13933;104;15401;4;671;125;22842;71;8958
RUTE 14;BLOK. M - PONDOK LABU;85;16460;95;18158;108;18670;80;11434;66;7687;43;3497;44;8414;77;14579;82;15659;4;771;86;16095;52;7447
RUTE 15;TEBET - PONDOK KOPI;67;14341;73;15577;88;16860;66;10264;53;7732;37;3233;34;4777;63;9706;75;14070;4;774;86;19345;53;7778
RUTE 16;RUSUN MUARA BARU - GROGOL;34;11595;38;12408;39;10669;34;8111;22;7372;26;3144;18;4667;45;10177;55;12476;3;757;65;17270;38;8103
RUTE 17;MUARA BARU- MUARA ANGKE;51;16694;57;17022;66;19531;51;11468;35;5261;22;2821;26;7633;47;8764;53;13221;3;731;66;19670;40;10500
RUTE 18;TEBET - MAMPANG PRAPATAN - RAGUNAN;34;4753;37;5340;45;6805;34;3606;21;4655;20;1143;15;1205;32;3524;10;939;;;;;;
RUTE 19;MANGGARAI - MAMPANG PRAPATAN- PS MINGGU;34;5344;36;6297;44;7983;34;3922;28;3155;18;935;2;90;31;3087;8;1078;;;;;;
